qid,subject,gold,n_think,think_closed,conf_natural,H_think_mean,H_think_tail,H_ans_prior,H_ans_mid,H_ans_end,conf_end,final_letter,final_correct
4,prehistory,A,381,True,85.0,0.5935766426504574,0.6773410256410255,1.153775930404663,1.309854865074157,0.536498427391052,90.0,A,True
78,elementary_mathematics,A,1709,True,95.0,0.5421362862841319,0.506446783625731,1.142031192779541,0.10768823325634001,0.21220833063125602,95.0,A,True
69,high_school_physics,A,1574,True,95.0,0.4356745944518415,0.4354955696202531,1.100339293479919,0.21230025589466,0.20492032170295701,95.0,A,True
0,college_physics,A,828,True,95.0,0.5091866437967023,0.4490072289156627,1.112850189208984,0.145534843206405,0.132740423083305,95.0,C,False
143,high_school_microeconomics,D,366,True,95.0,0.45470172307942813,0.5125027027027027,1.091588258743286,0.39054369926452603,0.111135214567184,95.0,D,True
39,high_school_mathematics,A,1754,True,,0.39533247517137043,0.44321534090909087,1.318384528160095,1.31767725944519,0.09841851890087101,95.0,A,True
108,moral_scenarios,A,287,True,95.0,0.7990787761432456,0.7501379310344827,0.8400460481643671,1.065843939781189,0.087288096547126,95.0,A,True
35,high_school_computer_science,D,295,True,100.0,0.47218422595613685,0.7309133333333334,0.5578813552856441,0.015349321067333001,0.08429841697216,100.0,D,True
165,high_school_psychology,D,551,True,95.0,0.6017165004334601,0.7134589285714287,0.781576991081237,1.181782484054565,0.081831060349941,95.0,D,True
101,moral_disputes,C,346,True,95.0,0.526062402601182,0.5126342857142858,0.34810864925384505,0.307507097721099,0.06126804649829801,95.0,C,True
